DARACOD;AREA;REPUESTAS;Nota directa;Nota transformada;Aciertos;Errores;Blancos;Dobles;PRUEBA;
168274;1;DCBADDCAECAEBACCDCAABCEDBEAABDEBECBEDEDADDDADABECBEAABBCBDBBCBBB ACABDACEBD                         ;91,94000;0,00000;16;58;26;0;DCBADDCAECAEBACCDCAABCEDBEAABDEBECBEDEDADDDADABECBEAABBCBDBBCBBB.ACABDACEBD.........................;
168280;1;EDAB ADCEBD CBACCDAEBB CB CE  CA A C EE  DB DBCDDCECABBCACC E ACAB  D D BABEDEAABCBEEDCCEDBBD  CBBCA;158,29000;0,00000;27;53;20;0;EDAB.ADCEBD.CBACCDAEBB.CB.CE..CA.A.C.EE..DB.DBCDDCECABBCACC.E.ACAB..D.D.BABEDEAABCBEEDCCEDBBD..CBBCA;
168281;1;EAADABCAACDCBCBBECEEACDACBCEBECDBEDBDECEAEDAEABECDCAABBCBDDEEBBCBDAEBEDECCDEABBCBCCCDDADCDEBDBECDBBA;302,57000;0,00000;51;49;0;0;EAADABCAACDCBCBBECEEACDACBCEBECDBEDBDECEAEDAEABECDCAABBCBDDEEBBCBDAEBEDECCDEABBCBCCCDDADCDEBDBECDBBA;
168270;1;DBABCACCEADECCDCADCEBDCACBEEDCCDCACA E      ABABBCECABDCBCB C DEBBDDBBCEBCBC ECEBEBDBAADCD AEBACBCBC;200,15000;0,00000;34;55;11;0;DBABCACCEADECCDCADCEBDCACBEEDCCDCACA.E......ABABBCECABDCBCB.C.DEBBDDBBCEBCBC.ECEBEBDBAADCD.AEBACBCBC;
168282;1;DAADAACCBADEAABBECCEBDCBDCEEBECCBADECEDBAACDAABEDEAABBDCBBBCBEBBBDECAECCCDCBEDCABABCEEDECDBBDDACBCAE;223,66000;0,00000;38;62;0;0;DAADAACCBADEAABBECCEBDCBDCEEBECCBADECEDBAACDAABEDEAABBDCBBBCBEBBBDECAECCCDCBEDCABABCEEDECDBBDDACBCAE;
168271;1;EABEAECCEEAAEBBCAE E      CDC CE E ADE A    CBADCCBABABCEBA   BECA     CEACEEBCCBCBE CACCDABABBCDEAE;170,71000;0,00000;29;47;24;0;EABEAECCEEAAEBBCAE.E......CDC.CE.E.ADE.A....CBADCCBABABCEBA...BECA.....CEACEEBCCBCBE.CACCDABABBCDEAE;
168283;1;CABEBCEDECDABAEBADAEDB AADCA    CB  DABBBC  AAAABCCAABDEA    BABADBCDBCAADDEBDDCACCABDEACDBECBACDCBE;176,01000;0,00000;30;57;13;0;CABEBCEDECDABAEBADAEDB.AADCA....CB..DABBBC..AAAABCCAABDEA....BABADBCDBCAADDEBDDCACCABDEACDBECBACDCBE;
168224;1;EACD  ABAAD CBBDCC EBECDEABEB B CE D EBAADCAEBACEBCDABBCAEEBADEECAAEDCDBAEAEDEDBACABDBAEED D AECBEAC;194,01000;0,00000;33;57;10;0;EACD..ABAAD.CBBDCC.EBECDEABEB.B.CE.D.EBAADCAEBACEBCDABBCAEEBADEECAAEDCDBAEAEDEDBACABDBAEED.D.AECBEAC;
168221;1;DBCABEACEABCCBBAADAE     AEDBEAB D?ECEBCBDCDEEBBDDCBABDCBDC   BB        EDDADECACCACAAECDDBDDAECBCBC;158,15000;0,00000;27;55;17;1;DBCABEACEABCCBBAADAE.....AEDBEAB.D?ECEBCBDCDEEBBDDCBABDCBDC...BB........EDDADECACCACAAECDDBDDAECBCBC;
168232;1;EAEAEACAAADECBDAACDEAAEACAEEBEAACEBEAEEAAEADABBEAEAAABDCEABCEBABEACBEAEACBEEEADABCEAADDAEDAEDAECBBBB;205,45000;0,00000;35;65;0;0;EAEAEACAAADECBDAACDEAAEACAEEBEAACEBEAEEAAEADABBEAEAAABDCEABCEBABEACBEAEACBEEEADABCEAADDAEDAEDAECBBBB;
168233;1;DBADDBCBBEEEEBBADACEDBBDECCCCCADCADEEEAADACAAACDBDECBBECABAEEBBBAAABEEBCCCDCCCCBDCCBABDAECDADAABBCBA;144,75000;0,00000;25;75;0;0;DBADDBCBBEEEEBBADACEDBBDECCCCCADCADEEEAADACAAACDBDECBBECABAEEBBBAAABEEBCCCDCCCCBDCCBABDAECDADAABBCBA;
168230;1;AEAACCBACCA CCADCAAE     DEE     E  AD     BEABCDBCDABBCABE   EB  AC    ADEEBDDABCD BDADCDBBDABCBBAB;134,57000;0,00000;23;49;28;0;AEAACCBACCA.CCADCAAE.....DEE.....E..AD.....BEABCDBCDABBCABE...EB..AC....ADEEBDDABCD.BDADCDBBDABCBBAB;
168231;1;ABDDACBABDDBCABDACCEBBEBDAAEBDCCCCBEBEEDDABAECBDBDEAABBCACBCABBDCDBCEBACCABEBAECCADBAACC DBBDDDCDBBC;211,59000;0,00000;36;63;1;0;ABDDACBABDDBCABDACCEBBEBDAAEBDCCCCBEBEEDDABAECBDBDEAABBCACBCABBDCDBCEBACCABEBAECCADBAACC.DBBDDDCDBBC;
168229;1;DBBDAABAAACECAABACAEEAEAEEDBDEEEDCBEEEBBBECAEBBABECADBDCACDCEBBACAADBDBAABAEDDCACCCEDBEADDBEDDEBDCAD;169,03000;0,00000;29;71;0;0;DBBDAABAAACECAABACAEEAEAEEDBDEEEDCBEEEBBBECAEBBABECADBDCACDCEBBACAADBDBAABAEDDCACCCEDBEADDBEDDEBDCAD;
168228;1;ADBDDABCCADCCBDDACCEADBDCAAEBECEBABBCEEBABCDEDAEEDCAABDEECDDECDBBDDCEEBEECBEDEBCBCCADDCDEEDBBAECBBEC;296,50000;0,00000;50;50;0;0;ADBDDABCCADCCBDDACCEADBDCAAEBECEBABBCEEBABCDEDAEEDCAABDEECDDECDBBDDCEEBEECBEDEBCBCCADDCDEEDBBAECBBEC;
168226;1;ADCDDBCAEAAECEDAAB E AACC EEEDDA A BDA CDE  AABADBCBABDECCBDCBBCD AD B CADCEDBBBBBABDEAACDDACDEADBDC;194,08000;0,00000;33;56;11;0;ADCDDBCAEAAECEDAAB.E.AACC.EEEDDA.A.BDA.CDE..AABADBCBABDECCBDCBBCD.AD.B.CADCEDBBBBBABDEAACDDACDEADBDC;
168227;1;ABCADBDCDDAABBACADAEACACDCBADAEEEABBEEBCADCDEABADDAAABDCABDDACBCBABCBDECECABDDAEABEBCCDCEDABDAECBBEC;175,10000;0,00000;30;70;0;0;ABCADBDCDDAABBACADAEACACDCBADAEEEABBEEBCADCDEABADDAAABDCABDDACBCBABCBDECECABDDAEABEBCCDCEDABDAECBBEC;
168222;1;EAEADADDACCECBDDACCEAAAAEACEBECADABEAEEEABDAEDBACDEDABBCACBCEADD ACBE EDCAEBDBCBACEDCBADCDAECBACDCAC;223,80000;0,00000;38;60;2;0;EAEADADDACCECBDDACCEAAAAEACEBECADABEAEEEABDAEDBACDEDABBCACBCEADD.ACBE.EDCAEBDBCBACEDCBADCDAECBACDCAC;
168285;1;EACADECAACAACBBBADCEACEE   ECECBDAEEAE  AB DEBBCACCEABDCBDEEEBEACB C  E DCDEEDECCCDECDADCDBBEAECDBAD;248,64000;0,00000;42;48;10;0;EACADECAACAACBBBADCEACEE...ECECBDAEEAE..AB.DEBBCACCEABDCBDEEEBEACB.C..E.DCDEEDECCCDECDADCDBBEAECDBAD;
168273;1;BBCECDCACEDEBDBCDDCED DCDEEDBDDAEABAEECCAABAABBE AEEBBDBABEEEDBDCD C  CCADDEAADBDBDDDCDACDCEBACCBEBB;120,82000;0,00000;21;74;5;0;BBCECDCACEDEBDBCDDCED.DCDEEDBDDAEABAEECCAABAABBE.AEEBBDBABEEEDBDCD.C..CCADDEAADBDBDDDCDACDCEBACCBEBB;
168298;1;DAACEDEACAADCABCCDCEDAACCDBBBAEBEABCEEBBAABBEBADBDADBACEADDEECEDDDDEEBCEEDCDEDDBBBADCECEDDBEDEACBCAB;138,68000;0,00000;24;76;0;0;DAACEDEACAADCABCCDCEDAACCDBBBAEBEABCEEBBAABBEBADBDADBACEADDEECEDDDDEEBCEEDCDEDDBBBADCECEDDBEDEACBCAB;
168212;1;CBBBCCBCDDEEDEBAEAC ABEDBBBEBBCEEBBEEBCDAABAEAADCDECBCBBEBCBADBCDCACCBEAADEADDDEACDCCCADEDAAAAECDEEB;138,75000;0,00000;24;75;1;0;CBBBCCBCDDEEDEBAEAC.ABEDBBBEBBCEEBBEEBCDAABAEAADCDECBCBBEBCBADBCDCACCBEAADEADDDEACDCCCADEDAAAAECDEEB;
168299;1;EABDDB CB CBBEBCACDEAEECAACEBBCAEADECEDC D  EBDDCCCAABDCCECDEDDACABAEDCBABAEEBBCACCBDDACEDABDAACDBDC;248,29000;0,00000;42;53;5;0;EABDDB.CB.CBBEBCACDEAEECAACEBBCAEADECEDC.D..EBDDCCCAABDCCECDEDDACABAEDCBABAEEBBCACCBDDACEDABDAACDBDC;
168297;1;EBBBDCBACCECCEBBAACEDCDCCDEDBCACCCBBCABAEDCCECBDADCDABDCBCDBBCEADBDCEDBDECDCDCCACCEBCDAACDCBDCECBCDC;254,01000;0,00000;43;57;0;0;EBBBDCBACCECCEBBAACEDCDCCDEDBCACCCBBCABAEDCCECBDADCDABDCBCDBBCEADBDCEDBDECDCDCCACCEBCDAACDCBDCECBCDC;
168217;1;CBDADCDCCCDABBBAADAEACECEAAECECECAADCAECDCCBEBBDCCCAABBCACDEEBCABDCBEBAABDEECDCBBBBAAAEDE EBEDECDCDB;169,10000;0,00000;29;70;1;0;CBDADCDCCCDABBBAADAEACECEAAECECECAADCAECDCCBEBBDCCCAABBCACDEEBCABDCBEBAABDEECDCBBBBAAAEDE.EBEDECDCDB;
168215;1;EADDDCBDCCDCABDBABCEADCACACEAECBCABCAEEDAAACE BDEEEDABBCBCBCBBDDBDCBEBAEACDEACECBCCBEEADCDEBDAECDBAD;345,13000;0,00000;58;41;1;0;EADDDCBDCCDCABDBABCEADCACACEAECBCABCAEEDAAACE.BDEEEDABBCBCBCBBDDBDCBEBAEACDEACECBCCBEEADCDEBDAECDBAD;
168162;1;CDCBEDDCACADBADCACCEBAEDBAEEAECCEABECEBDADABACABCCDBBBDEADDCECEBCDCACBDDACEABCABBCACCEADCECBDDABBEBA;169,03000;0,00000;29;71;0;0;CDCBEDDCACADBADCACCEBAEDBAEEAECCEABECEBDADABACABCCDBBBDEADDCECEBCDCACBDDACEABCABBCACCEADCECBDDABBEBA;
168161;1;CCABADEABEEABDBCDEEDBDCEADADCDEDEADBAABDDBCDABAACDABBBCCACDCABBCBBBDBDDCACCEEDDEADEDBBADBDDBABBCECBC;138,68000;0,00000;24;76;0;0;CCABADEABEEABDBCDEEDBDCEADADCDEDEADBAABDDBCDABAACDABBBCCACDCABBCBBBDBDDCACCEEDDEADEDBBADBDDBABBCECBC;
168159;1;EABA ACDCAD CEDCACCEAEBACAEEBEC  AEEDE EBACDEABDADDADBBCBC  CEBCBBACECD CCE  D BBCC  CA CDBBD ECBBD?;309,76000;0,00000;52;32;15;1;EABA.ACDCAD.CEDCACCEAEBACAEEBEC..AEEDE.EBACDEABDADDADBBCBC..CEBCBBACECD.CCE..D.BBCC..CA.CDBBD.ECBBD?;
168158;1;EACDD CCACDDCEDDAC EAC  AACBBEADBADEAEDBBD  E CD DCCABDCBC   EE   E      D C B DBBD C A DDDBDCECDBC ;243,76000;0,00000;41;32;27;0;EACDD.CCACDDCEDDAC.EAC..AACBBEADBADEAEDBBD..E.CD.DCCABDCBC...EE...E......D.C.B.DBBD.C.A.DDDBDCECDBC.;
168234;1;EDADCADEEAEABBBAACA AB BDAAE     A E E   A DDB DCEEAABBCEDA  DAA  DE    BDDEEEDEDBEBBBDD DBBCAECBDBB;140,29000;0,00000;24;53;23;0;EDADCADEEAEABBBAACA.AB.BDAAE.....A.E.E...A.DDB.DCEEAABBCEDA..DAA..DE....BDDEEEDEDBEBBBDD.DBBCAECBDBB;
168296;1;DAAECCDCDADECCBCABDE AC  BCDDEACEABEDEDBADBDEABBDBBAABBEABAEEDCDAABEEDECEDDCEDAEACDBBEABADABCCACBCAC;169,24000;0,00000;29;68;3;0;DAAECCDCDADECCBCABDE.AC..BCDDEACEABEDEDBADBDEABBDBBAABBEABAEEDCDAABEEDECEDDCEDAEACDBBEABADABCCACBCAC;
168213;1;EBEDAEBDAADACEDBACCECDBCCBCECECDCACBCECABDCAEDBEDDBCABEDCCCDEBBEDEABEEDBACDEBCECBCCBCCADCDEBDCECBCAD;363,27000;0,00000;61;39;0;0;EBEDAEBDAADACEDBACCECDBCCBCECECDCACBCECABDCAEDBEDDBCABEDCCCDEBBEDEABEEDBACDEBCECBCCBCCADCDEBDCECBCAD;
168160;1;EBACCAADADDACABDADBEBAB    D   AAAC D EC AA ABAACEECAABCACBCEDCCB CA      EEEDEEBCCEDEADCEEBAAECBCAB;212,78000;0,00000;36;46;18;0;EBACCAADADDACABDADBEBAB....D...AAAC.D.EC.AA.ABAACEECAABCACBCEDCCB.CA......EEEDEEBCCEDEADCEEBAAECBCAB;
168295;1;DDADDCECEADBCCAAACAEBACCCAAEDDCEDABCAEBDDDBBEAAABCEBBBBCEDDBEABDCAEADBCDECDDEEBEEDEEBEDDEDECCCACDCAB;169,03000;0,00000;29;71;0;0;DDADDCECEADBCCAAACAEBACCCAAEDDCEDABCAEBDDDBBEAAABCEBBBBCEDDBEABDCAEADBCDECDDEEBEEDEEBEDDEDECCCACDCAB;
168293;1;EAACCDCCADCABEBDADCEADCDCCEECECDBABEDCEBBCCCEDBECDCDABDCBDCAEDBDADABDCBCDDDCCBDCBCCACDADCDCBDEECBCAA;266,15000;0,00000;45;55;0;0;EAACCDCCADCABEBDADCEADCDCCEECECDBABEDCEBBCCCEDBECDCDABDCBDCAEDBDADABDCBCDDDCCBDCBCCACDADCDCBDEECBCAA;
168294;1;DDEDDEEAAAEECBBBAC E      C DECB ABEDE      BDBEDBCAACBCBCA E BBA   E  CACDEEDBBBCCBDEDDCEDBDEACBBBB;219,13000;0,00000;37;41;22;0;DDEDDEEAAAEECBBBAC.E......C.DECB.ABEDE......BDBEDBCAACBCBCA.E.BBA...E..CACDEEDBBBCCBDEDDCEDBDEACBBBB;
168239;1;BAAEACAAAADABABCAAAEDACCDBCEBCCAEABBACEDAABDECBAEBCDABDCCCDAABBCBCBCDDACADCCDEAEACACBCAEADCBAEBCBBAA;193,31000;0,00000;33;67;0;0;BAAEACAAAADABABCAAAEDACCDBCEBCCAEABBACEDAABDECBAEBCDABDCCCDAABBCBCBCDDACADCCDEAEACACBCAEADCBAEBCBBAA;
168241;1;ADBBCBDABBAEBBBAACCAEAACCCCABBECCEBEAAEAAECDEDADCAABBBBCABABABECBCDCAAAAEAACDDAEDAEEBEBDBEADDAECBDAB;120,47000;0,00000;21;79;0;0;ADBBCBDABBAEBBBAACCAEAACCCCABBECCEBEAAEAAECDEDADCAABBBBCABABABECBCDCAAAAEAACDDAEDAEEBEBDBEADDAECBDAB;
168240;1;ABBADCCDAEBEAACBACCEAAEDECEBCECEDCBEEEEEAACDADAEBECAABDCBBCDAACDBDBAEAEADDCECBBEDBADBDACABDEEABCBEAD;175,10000;0,00000;30;70;0;0;ABBADCCDAEBEAACBACCEAAEDECEBCECEDCBEEEEEAACDADAEBECAABDCBBCDAACDBDBAEAEADDCECBBEDBADBDACABDEEABCBEAD;
168243;1;CABEBCBDADCECCBABDCEABCCDBCBABCDDCEDCEEBDD DABCBCBCAABBCBCECADBEADACEBCBEDEBECCABCACBBCCBDDBDAECDBCB;217,66000;0,00000;37;62;1;0;CABEBCBDADCECCBABDCEABCCDBCBABCDDCEDCEEBDD.DABCBCBCAABBCBCECADBEADACEBCBEDEBECCABCACBBCCBDDBDAECDBCB;
168242;1;EACDCBCCCABECABCADAEA AD AAEAEEABABEAEBBACEDEBBACDCDABDCCDBEE BBABBCE   ADBEEADCBCADECBECDCBDAACDDCD;230,15000;0,00000;39;55;6;0;EACDCBCCCABECABCADAEA.AD.AAEAEEABABEAEBBACEDEBBACDCDABDCCDBEE.BBABBCE...ADBEEADCBCADECBECDCBDAACDDCD;
168244;1;DABACACDADDACACCECCEEBEBEAAECEC BABE EE A B ABBEBDCBABBCA  BEDADCAA ED CDCCA C CBCCAECACCDDBDCCCDECB;248,71000;0,00000;42;47;11;0;DABACACDADDACACCECCEEBEBEAAECEC.BABE.EE.A.B.ABBEBDCBABBCA..BEDADCAA.ED.CDCCA.C.CBCCAECACCDDBDCCCDECB;
168237;1;EABACBEAACEECBBBCBCEDADCACCEC ADEADEABECDCAEDDBDAEEBABDCABBCEEBAC CDEDD CDCEEEAEAC BCBBECDDBAABCABAD;169,31000;0,00000;29;67;4;0;EABACBEAACEECBBBCBCEDADCACCEC.ADEADEABECDCAEDDBDAEEBABDCABBCEEBAC.CDEDD.CDCEEEAEAC.BCBBECDDBAABCABAD;
168238;1;EABECAEACCDECCBCCCAEDCCECACBCAADDABEAABCDDCCCBDCBDEAABBCEBCCEBED CDC   CDDCEECDCDCBCBDDDCDDBDCBCBBAB;205,73000;0,00000;35;61;4;0;EABECAEACCDECCBCCCAEDCCECACBCAADDABEAABCDDCCCBDCBDEAABBCEBCCEBED.CDC...CDDCEECDCDCBCBDDDCDDBDCBCBBAB;
168284;1;EABDBEBDACDACADBCBCEADBACACEBECABACADEEBAAEBEBBABDCCABDCBBBDBEBDBDACECDBECDEEEECBCBBBAADCDBBDCECBCCC;478,60000;0,00000;80;20;0;0;EABDBEBDACDACADBCBCEADBACACEBECABACADEEBAAEBEBBABDCCABDCBBBDBEBDBDACECDBECDEEEECBCBBBAADCDBBDCECBCCC;
168236;1;AB CADCCADDABACCCCBECACCDBEEBDCACABECEECABBCCEBDBCECEAECACBEBBEDCDCDEBAABDBEDCCCACBEACABCCCBDAAAAEBB;163,03000;0,00000;28;71;1;0;AB.CADCCADDABACCCCBECACCDBEEBDCACABECEECABBCCEBDBCECEAECACBEBBEDCDCDEBAABDBEDCCCACBEACABCCCBDAAAAEBB;
168235;1;DDADCCEAADCECCBDACAEEDACBBECBBBDDDCBEEDDEADAECBACCCDABDBADBEBADBADDCEBDCDCCEDDCCEBCDDDDEBDCBCEECAEBD;193,31000;0,00000;33;67;0;0;DDADCCEAADCECCBDACAEEDACBBECBBBDDDCBEEDDEADAECBACCCDABDBADBEBADBADDCEBDCDCCEDDCCEBCDDDDEBDCBCEECAEBD;
168286;1;DABAADCCACDACEBBAD E      C   C BA B E    BBEABECDDDABBCBBBBECBCEBDBEBCACDCEDEDCBCCBECAACDABDAECBBAB;236,99000;0,00000;40;43;17;0;DABAADCCACDACEBBAD.E......C...C.BA.B.E....BBEABECDDDABBCBBBBECBCEBDBEBCACDCEDEDCBCCBECAACDABDAECBBAB;
168287;1;ABBCDECCABAEEABCCCC  AAC ECBBACDEAEECE DCBADEAEAADEAADBEBCA CCBDABBCEA  ECEEDAECACEEBCCDCDDBDAECDDDC;199,87000;0,00000;34;59;7;0;ABBCDECCABAEEABCCCC..AAC.ECBBACDEAEECE.DCBADEAEAADEAADBEBCA.CCBDABBCEA..ECEEDAECACEEBCCDCDDBDAECDDDC;
168245;1; ACA D AA   CABB BDEAD A A E  C     DE B    E    C BAAD B B   EABDAEE   A AE B A C    ABCDEBDAEC CA ;184,32000;0,00000;31;24;45;0;.ACA.D.AA...CABB.BDEAD.A.A.E..C.....DE.B....E....C.BAAD.B.B...EABDAEE...A.AE.B.A.C....ABCDEBDAEC.CA.;
168247;1;CACCDBCCACDCCCBBCDDEADDACDCEBECBCBBDEEEDDECDEACCBECAABEEBCDABCCEBDBCECBBECDEECEEBCCBBDACCDDBDACCBEAC;290,43000;0,00000;49;51;0;0;CACCDBCCACDCCCBBCDDEADDACDCEBECBCBBDEEEDDECDEACCBECAABEEBCDABCCEBDBCECBBECDEECEEBCCBBDACCDDBDACCBEAC;
163461;1;EABDDBBDAADECEDBCBCEDBEABDACBEADCDBEDAEDDCDAEDBABECBABDCAEDBE CCBCAAECAECCEEACEBBCABCEADC DBDDECDBCC;278,43000;0,00000;47;51;2;0;EABDDBBDAADECEDBCBCEDBEABDACBEADCDBEDAEDDCDAEDBABECBABDCAEDBE.CCBCAAECAECCEEACEBBCABCEADC.DBDDECDBCC;
163460;1;EAADEBCCAADACEBBABAEABAAECBEAECA ABEDEEECCEBCBBCBDCCABBCBCCBEBCCC BCEA BCCDEECACBCDBCBADCDEBDABBBCBB;296,71000;0,00000;50;47;3;0;EAADEBCCAADACEBBABAEABAAECBEAECA.ABEDEEECCEBCBBCBDCCABBCBCCBEBCCC.BCEA.BCCDEECACBCDBCBADCDEBDABBBCBB;
163459;1;AAAADACAEADCAAACDDCEEBDCCACABDBBEABAADCAAEACAAEDBBAABBDEEEAEACECBCAABCDCAAAEECDAADBADADDDEBEDAECACBA;156,89000;0,00000;27;73;0;0;AAAADACAEADCAAACDDCEEBDCCACABDBBEABAADCAAEACAAEDBBAABBDEEEAEACECBCAABCDCAAAEECDAADBADADDDEBEDAECACBA;
163458;1;EAD   BDDAD  BBCCB EADBACACBAECABAC DE BAAECE  BBECCABDCBCBDB C BDACECDBCCDEECECBCDB AA CDDBDAEC CDC;376,46000;0,00000;63;22;15;0;EAD...BDDAD..BBCCB.EADBACACBAECABAC.DE.BAAECE..BBECCABDCBCBDB.C.BDACECDBCCDEECECBCDB.AA.CDDBDAEC.CDC;
